,count
cell_0,0.0
cell_1,0.0
cell_2,0.0
cell_3,0.0
cell_4,1.0
cell_5,3.0
cell_6,0.0
cell_7,0.0
cell_8,0.0
cell_9,0.0
cell_10,0.0
cell_11,3.0
cell_12,2.0
cell_13,0.0
cell_14,2.0
cell_15,0.0
cell_16,0.0
cell_17,3.0
cell_18,2.0
cell_19,0.0
cell_20,7.0
cell_21,0.0
cell_22,0.0
cell_23,0.0
cell_24,0.0
cell_25,0.0
cell_26,0.0
cell_27,0.0
cell_28,1.0
cell_29,4.0
cell_30,0.0
cell_31,1.0
cell_32,6.0
cell_33,0.0
cell_34,2.0
cell_35,0.0
cell_36,0.0
cell_37,1.0
cell_38,4.0
cell_39,0.0
cell_40,0.0
cell_41,1.0
cell_42,0.0
cell_43,0.0
cell_44,0.0
cell_45,1.0
cell_46,5.0
cell_47,0.0
cell_48,0.0
cell_49,0.0
cell_50,0.0
cell_51,0.0
cell_52,0.0
cell_53,0.0
cell_54,0.0
cell_55,3.0
cell_56,0.0
cell_57,0.0
cell_58,7.0
cell_59,0.0
cell_60,0.0
cell_61,4.0
cell_62,0.0
cell_63,0.0
cell_64,0.0
cell_65,0.0
cell_66,0.0
cell_67,4.0
cell_68,3.0
cell_69,0.0
cell_70,0.0
cell_71,1.0
cell_72,2.0
cell_73,0.0
cell_74,4.0
cell_75,0.0
cell_76,0.0
cell_77,0.0
cell_78,0.0
cell_79,1.0
cell_80,2.0
cell_81,4.0
cell_82,3.0
cell_83,2.0
cell_84,1.0
cell_85,1.0
cell_86,0.0
cell_87,0.0
cell_88,0.0
cell_89,0.0
cell_90,1.0
cell_91,1.0
cell_92,0.0
cell_93,5.0
cell_94,2.0
cell_95,0.0
cell_96,0.0
cell_97,0.0
cell_98,0.0
cell_99,3.0
cell_100,0.0
cell_101,0.0
cell_102,2.0
cell_103,0.0
cell_104,0.0
cell_105,0.0
cell_106,2.0
cell_107,2.0
cell_108,0.0
cell_109,4.0
cell_110,0.0
cell_111,0.0
cell_112,0.0
cell_113,1.0
cell_114,0.0
cell_115,0.0
cell_116,0.0
cell_117,1.0
cell_118,1.0
cell_119,0.0
cell_120,1.0
cell_121,0.0
cell_122,0.0
cell_123,4.0
cell_124,0.0
cell_125,0.0
cell_126,0.0
cell_127,0.0
cell_128,0.0
cell_129,0.0
cell_130,0.0
cell_131,4.0
cell_132,0.0
cell_133,0.0
cell_134,0.0
cell_135,3.0
cell_136,3.0
cell_137,0.0
cell_138,0.0
cell_139,0.0
cell_140,0.0
cell_141,2.0
cell_142,0.0
cell_143,0.0
cell_144,0.0
cell_145,0.0
cell_146,3.0
cell_147,0.0
cell_148,4.0
cell_149,0.0
cell_150,0.0
cell_151,0.0
cell_152,0.0
cell_153,1.0
cell_154,0.0
cell_155,0.0
cell_156,0.0
cell_157,3.0
cell_158,4.0
cell_159,0.0
cell_160,2.0
cell_161,0.0
cell_162,0.0
cell_163,1.0
cell_164,0.0
cell_165,3.0
cell_166,0.0
cell_167,2.0
cell_168,0.0
cell_169,0.0
cell_170,2.0
cell_171,0.0
cell_172,0.0
cell_173,1.0
cell_174,0.0
cell_175,4.0
