	sc_id	spot	exp_cor_before	interface_cor_before	mix_cor_before	exp_cor_after	interface_cor_after	mix_cor_after	celltype	UMAP1	UMAP2	st_x	st_y	spex_UMAP1	spex_UMAP2	indice	core1	core2	centering_scale_factor	adj_spex_UMAP1	adj_spex_UMAP2
0	cell_387	spot_0	0.9347312517451826	0.7312126940318875	0.9143793959738531	0.9724405046573518	0.769826135467546	0.9521790677383712	HPC	-15.935573	-9.390559	375	375	24.416796	19.79517	0	24.42564582824707	19.86536407470703	1931.6736094149555	357.90449991667674	239.40763058912432
1	cell_917	spot_0	0.9347312517451826	0.7312126940318875	0.9143793959738531	0.9724405046573518	0.769826135467546	0.9521790677383712	HPC	-15.914246	-9.615966	375	375	24.3159	19.97388	0	24.42564582824707	19.86536407470703	1931.6736094149555	163.00843021675547	584.6188322716798
2	cell_103	spot_0	0.9347312517451826	0.7312126940318875	0.9143793959738531	0.9724405046573518	0.769826135467546	0.9521790677383712	HPC	-15.82072	-9.538016	375	375	24.387989	19.925695	0	24.42564582824707	19.86536407470703	1931.6736094149555	302.2593840204631	491.5404661930169
3	cell_319	spot_0	0.9347312517451826	0.7312126940318875	0.9143793959738531	0.9724405046573518	0.769826135467546	0.9521790677383712	Endo	-15.820862	-9.467965	375	375	24.383144	19.888918	0	24.42564582824707	19.86536407470703	1931.6736094149555	292.9010714748507	420.49834709675844
4	cell_22	spot_0	0.9347312517451826	0.7312126940318875	0.9143793959738531	0.9724405046573518	0.769826135467546	0.9521790677383712	Endo	-16.095636	-9.273015	375	375	24.488602	19.693855	0	24.42564582824707	19.86536407470703	1931.6736094149555	496.6101662177266	43.700998385252376
5	cell_1134	spot_0	0.9347312517451826	0.7312126940318875	0.9143793959738531	0.9724405046573518	0.769826135467546	0.9521790677383712	Sst	-16.026152	-9.638459	375	375	24.484886	19.965979	0	24.42564582824707	19.86536407470703	0.0	375.0	375.0
6	cell_159	spot_0	0.9347312517451826	0.7312126940318875	0.9143793959738531	0.9724405046573518	0.769826135467546	0.9521790677383712	Sst	-15.884832	-9.616214	375	375	24.447083	19.910986	0	24.42564582824707	19.86536407470703	0.0	375.0	375.0
7	cell_443	spot_0	0.9347312517451826	0.7312126940318875	0.9143793959738531	0.9724405046573518	0.769826135467546	0.9521790677383712	Astro	-16.032763	-9.271856	375	375	24.522005	19.696835	0	24.42564582824707	19.86536407470703	1931.6736094149555	561.1346259072182	49.45599216330214
8	cell_96	spot_0	0.9347312517451826	0.7312126940318875	0.9143793959738531	0.9724405046573518	0.769826135467546	0.9521790677383712	Astro	-15.859108	-9.481377	375	375	24.384409	19.93697	0	24.42564582824707	19.86536407470703	1931.6736094149555	295.3438121117566	513.3188069241643
9	cell_325	spot_1	0.9443476272631885	0.712629034475785	0.9211757679844482	0.9656557667555276	0.8619877527054128	0.9552889653505161	ExcitatoryL6	-16.131386	-9.265291	375	1125	24.521305	19.749826	1	24.575349807739258	19.74571418762207	1407.4110438043058	298.93685927163125	1130.7876171311227
10	cell_676	spot_1	0.9443476272631885	0.712629034475785	0.9211757679844482	0.9656557667555276	0.8619877527054128	0.9552889653505161	ExcitatoryL6	-16.127403	-9.292148	375	1125	24.629921	19.634771	1	24.575349807739258	19.74571418762207	1407.4110438043058	451.8040416227054	968.8578209420753
11	cell_1090	spot_1	0.9443476272631885	0.712629034475785	0.9211757679844482	0.9656557667555276	0.8619877527054128	0.9552889653505161	Micro	-16.01237	-9.537546	375	1125	24.52239	19.925564	1	24.575349807739258	19.74571418762207	1407.4110438043058	300.46429626031806	1378.1223479336536
12	cell_1214	spot_1	0.9443476272631885	0.712629034475785	0.9211757679844482	0.9656557667555276	0.8619877527054128	0.9552889653505161	Micro	-16.03271	-9.371454	375	1125	24.62723	19.738127	1	24.575349807739258	19.74571418762207	1407.4110438043058	448.01632002158567	1114.321363196843
13	cell_238	spot_1	0.9443476272631885	0.712629034475785	0.9211757679844482	0.9656557667555276	0.8619877527054128	0.9552889653505161	Endo	-16.250782	-9.212848	375	1125	24.613998	19.67717	1	24.575349807739258	19.74571418762207	1407.4110438043058	429.3944739925511	1028.52987159501
14	cell_365	spot_1	0.9443476272631885	0.712629034475785	0.9211757679844482	0.9656557667555276	0.8619877527054128	0.9552889653505161	Endo	-16.10147	-9.294134	375	1125	24.626213	19.698706	1	24.575349807739258	19.74571418762207	1407.4110438043058	446.5855222799862	1058.8396976745587
15	cell_1487	spot_1	0.9443476272631885	0.712629034475785	0.9211757679844482	0.9656557667555276	0.8619877527054128	0.9552889653505161	Olig	-16.10648	-9.384506	375	1125	24.652582	19.704197	1	24.575349807739258	19.74571418762207	1407.4110438043058	483.69767758507527	1066.56815301802
16	cell_156	spot_1	0.9443476272631885	0.712629034475785	0.9211757679844482	0.9656557667555276	0.8619877527054128	0.9552889653505161	Other	-15.912817	-9.287112	375	1125	24.441668	19.811329	1	24.575349807739258	19.74571418762207	1407.4110438043058	186.854123614967	1217.3468538625943
17	cell_752	spot_1	0.9443476272631885	0.712629034475785	0.9211757679844482	0.9656557667555276	0.8619877527054128	0.9552889653505161	ExcitatoryL5	-15.845303	-9.528228	375	1125	24.363756	19.907646	1	24.575349807739258	19.74571418762207	1407.4110438043058	77.20079125313862	1352.9048732909046
18	cell_785	spot_1	0.9443476272631885	0.712629034475785	0.9211757679844482	0.9656557667555276	0.8619877527054128	0.9552889653505161	ExcitatoryL5	-16.06683	-9.450978	375	1125	24.573736	19.78346	1	24.575349807739258	19.74571418762207	1407.4110438043058	372.72897769344627	1178.124741662764
19	cell_375	spot_1	0.9443476272631885	0.712629034475785	0.9211757679844482	0.9656557667555276	0.8619877527054128	0.9552889653505161	Astro	-16.221786	-9.261593	375	1125	24.689487	19.663967	1	24.575349807739258	19.74571418762207	1407.4110438043058	535.6385884710187	1009.9482919189286
20	cell_882	spot_1	0.9443476272631885	0.712629034475785	0.9211757679844482	0.9656557667555276	0.8619877527054128	0.9552889653505161	Astro	-16.126007	-9.216519	375	1125	24.64191	19.653822	1	24.575349807739258	19.74571418762207	1407.4110438043058	468.6783279335763	995.6698431617664
21	cell_552	spot_2	0.9048912538572087	0.2525618538826104	0.8396583138597489	0.9762173045384455	0.9333867881599773	0.9719342529005988	ExcitatoryL6	-16.133467	-9.470206	375	1875	24.574839	19.811426	101	24.838163375854492	19.59895133972168	1108.2968175666817	83.15803138805211	2110.4851701417792
22	cell_78	spot_2	0.9048912538572087	0.2525618538826104	0.8396583138597489	0.9762173045384455	0.9333867881599773	0.9719342529005988	Olig	-16.197636	-9.2000475	375	1875	24.874699	19.609259	101	24.838163375854492	19.59895133972168	0.0	375.0	1875.0
23	cell_823	spot_2	0.9048912538572087	0.2525618538826104	0.8396583138597489	0.9762173045384455	0.9333867881599773	0.9719342529005988	Olig	-16.198183	-9.414688	375	1875	24.749643	19.744371	101	24.838163375854492	19.59895133972168	1108.2968175666817	276.8935102400404	2036.1686057375316
24	cell_47	spot_2	0.9048912538572087	0.2525618538826104	0.8396583138597489	0.9762173045384455	0.9333867881599773	0.9719342529005988	Olig	-16.490053	-9.185648	375	1875	24.95631	19.666061	101	24.838163375854492	19.59895133972168	0.0	375.0	1875.0
25	cell_124	spot_2	0.9048912538572087	0.2525618538826104	0.8396583138597489	0.9762173045384455	0.9333867881599773	0.9719342529005988	Olig	-16.498112	-9.083968	375	1875	24.9246	19.446321	101	24.838163375854492	19.59895133972168	1108.2968175666817	470.7981017656076	1705.8408204358655
26	cell_1417	spot_2	0.9048912538572087	0.2525618538826104	0.8396583138597489	0.9762173045384455	0.9333867881599773	0.9719342529005988	Olig	-16.41321	-9.107144	375	1875	24.96461	19.456896	101	24.838163375854492	19.59895133972168	1108.2968175666817	515.1394447779953	1717.560328714883
27	cell_421	spot_2	0.9048912538572087	0.2525618538826104	0.8396583138597489	0.9762173045384455	0.9333867881599773	0.9719342529005988	Olig	-16.345762	-9.137827	375	1875	24.82244	19.458326	101	24.838163375854492	19.59895133972168	1108.2968175666817	357.57293898769433	1719.1457600296853
28	cell_732	spot_3	0.934084474885783	0.5486632043906031	0.895542347836265	0.979856686963049	0.8178722562217043	0.9636582438889145	Olig	-16.64828	-9.1342325	375	2625	25.15015	19.494244	112	25.217849731445312	19.288387298583984	312.9133437040229	353.8159442492855	2689.415190428329
29	cell_48	spot_3	0.934084474885783	0.5486632043906031	0.895542347836265	0.979856686963049	0.8178722562217043	0.9636582438889145	Olig	-16.668438	-8.998572	375	2625	25.069893	19.366879	112	25.217849731445312	19.288387298583984	312.9133437040229	328.7023279231864	2649.5609472658307
30	cell_1504	spot_3	0.934084474885783	0.5486632043906031	0.895542347836265	0.979856686963049	0.8178722562217043	0.9636582438889145	Olig	-17.441023	-8.434235	375	2625	26.118994	18.498363	112	25.217849731445312	19.288387298583984	312.9133437040229	656.9799908696345	2377.7910099750397
